"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"/works/?search=Ramathibodi%20Hospital\" title=\"Ramathibodi Hospital: 9 of 16 works\" style=\"color: var(--secondary-color); text-decoration: none; white-space: nowrap;\">Ramathibodi Hospital</a>","#research-cloud > table > tbody > tr:nth-child(3) > td:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"text-align: right; color: var(--secondary-color); white-space: pre;\">   9 works</td>","#research-cloud > table > tbody > tr:nth-child(3) > td:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"/works/?search=CEB%20Data%20Warehouse\" title=\"CEB Data Warehouse: 9 of 16 works\" style=\"color: var(--secondary-color); text-decoration: none; white-space: nowrap;\">CEB Data Warehouse</a>","#research-cloud > table > tbody > tr:nth-child(4) > td:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"text-align: right; color: var(--secondary-color); white-space: pre;\">   9 works</td>","#research-cloud > table > tbody > tr:nth-child(4) > td:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"/works/?search=Electronic%20Health%20Records\" title=\"Electronic Health Records: 9 of 16 works\" style=\"color: var(--secondary-color); text-decoration: none; white-space: nowrap;\">Electronic Health Records</a>","#research-cloud > table > tbody > tr:nth-child(5) > td:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"text-align: right; color: var(--secondary-color); white-space: pre;\">   9 works</td>","#research-cloud > table > tbody > tr:nth-child(5) > td:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"width: 100%; white-space: nowrap;\">├─ <a href=\"https://github.com/...</td>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"https://github.com/CEB-Data-Science-Clinical-Informatics/Dementia-Cohort\" target=\"_blank\" rel=\"noopener\" style=\"color: var(--secondary-color); text-decoration: none;\">Dementia Data Warehouse</a>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"text-align: right; color: var(--secondary-color); white-space: pre;\">   33m ago</td>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"width: 100%; white-space: nowrap;\">└─ <a href=\"https://github.com/...</td>","#github-projects > table > tbody > tr:nth-child(3) > td:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"https://github.com/CEB-Data-Science-Clinical-Informatics/Hypertension-Cohort\" target=\"_blank\" rel=\"noopener\" style=\"color: var(--secondary-color); text-decoration: none;\">Hypertension Data Warehouse</a>","#github-projects > table > tbody > tr:nth-child(3) > td:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"text-align: right; color: var(--secondary-color); white-space: pre;\">   3mo ago</td>","#github-projects > table > tbody > tr:nth-child(3) > td:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"width: 100%; white-space: nowrap;\">├─ <a href=\"https://github.com/...</td>","#github-projects > table > tbody > tr:nth-child(6) > td:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"https://github.com/finerbrighterlighter/personal_web_hugo\" target=\"_blank\" rel=\"noopener\" style=\"color: var(--secondary-color); text-decoration: none;\">This Hugo website</a>","#github-projects > table > tbody > tr:nth-child(6) > td:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"text-align: right; color: var(--secondary-color); white-space: pre;\">    7h ago</td>","#github-projects > table > tbody > tr:nth-child(6) > td:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"width: 100%; white-space: nowrap;\">└─ <a href=\"https://github.com/...</td>","#github-projects > table > tbody > tr:nth-child(7) > td:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<a href=\"https://github.com/finerbrighterlighter/myanmar_covid19\" target=\"_blank\" rel=\"noopener\" style=\"color: var(--secondary-color); text-decoration: none;\">Myanmar COVID-19 Dashboard</a>","#github-projects > table > tbody > tr:nth-child(7) > td:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<td style=\"text-align: right; color: var(--secondary-color); white-space: pre;\">    3y ago</td>","#github-projects > table > tbody > tr:nth-child(7) > td:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<div>[✓] privacy-focused analytics</div>","html > body > div:nth-child(3) > aside:nth-child(3) > div:nth-child(8) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<div>[✓] no advertising cookies</div>","html > body > div:nth-child(3) > aside:nth-child(3) > div:nth-child(8) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<div>[✓] no cross-site tracking</div>","html > body > div:nth-child(3) > aside:nth-child(3) > div:nth-child(8) > div:nth-child(2) > div:nth-child(2) > div:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<div>[✓] no personal profiling</div>","html > body > div:nth-child(3) > aside:nth-child(3) > div:nth-child(8) > div:nth-child(2) > div:nth-child(2) > div:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<div>\n          docs →\n          <a ...</div>","html > body > div:nth-child(3) > aside:nth-child(3) > div:nth-child(8) > div:nth-child(2) > div:nth-child(2) > div:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<div>[include] themes, api calls</div>","html > body > div:nth-child(3) > aside:nth-child(3) > div:nth-child(8) > div:nth-child(2) > div:nth-child(4) > div:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<div id=\"cache-expire-line\">[expires] 59 minutes 58 seconds</div>","#cache-expire-line"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<div>flush → <span id=\"cache-flush-b...</div>","html > body > div:nth-child(3) > aside:nth-child(3) > div:nth-child(8) > div:nth-child(2) > div:nth-child(4) > div:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"uni-country\" aria-hidden=\"true\">Thailand</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > div:nth-child(6) > a > span:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span class=\"uni-country\" aria-hidden=\"true\">Myanmar</span>","html > body > div:nth-child(3) > aside:nth-child(1) > div:nth-child(2) > div:nth-child(10) > a > span:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span style=\"color: var(--secondary-color); opacity: 0.3;\">░</span>","#research-cloud > table > tbody > tr:nth-child(1) > td:nth-child(2) > span:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span style=\"color: var(--secondary-color); opacity: 0.3;\">░░</span>","#research-cloud > table > tbody > tr:nth-child(2) > td:nth-child(2) > span:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span style=\"color: var(--secondary-color); opacity: 0.3;\">░░░░</span>","#research-cloud > table > tbody > tr:nth-child(3) > td:nth-child(2) > span:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span style=\"color: var(--secondary-color); opacity: 0.3;\">░░░░</span>","#research-cloud > table > tbody > tr:nth-child(4) > td:nth-child(2) > span:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.88:1. Recommendation:  change text colour to #fff.","<span style=\"color: var(--secondary-color); opacity: 0.3;\">░░░░</span>","#research-cloud > table > tbody > tr:nth-child(5) > td:nth-child(2) > span:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(6)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(7)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(8)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(9)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.77:1. Recommendation:  change text colour to #fdfeff.","<span style=\"color: rgb(53, 114, 165);\">█</span>","#github-projects > table > tbody > tr:nth-child(2) > td:nth-child(2) > span > span:nth-child(10)"
